nops,cycles
0,21
1,21
2,21
3,21
4,21
5,21
6,21
7,21
8,23
9,24
10,25
11,26
12,27
13,57
14,58
15,59
16,60
17,61
18,62
19,63
20,64
21,65
22,66
23,79
24,80
25,81
26,82
27,83
28,84
29,238
30,219
31,229
32,249
33,219
34,236
35,233
36,223
37,235
38,244
39,232
40,253
41,243
42,259
43,268
44,245
45,278
46,275
47,285
48,273
49,284
50,298
51,284
52,299
53,276
54,285
55,304
56,308
57,323
58,308
59,314
60,301
61,459
62,468
63,426
64,458
65,443
66,489
67,422
68,467
69,469
70,478
71,465
72,447
73,494
74,490
75,463
76,454
77,490
78,514
79,510
80,539
81,487
82,537
83,484
84,484
85,531
86,512
87,528
88,502
89,563
90,534
91,554
92,555
93,649
94,634
95,718
96,651
97,700
98,617
99,715
100,692
101,688
102,694
103,689
104,672
105,694
106,677
107,720
108,651
109,758
110,689
111,762
112,729
113,760
114,733
115,761
116,689
117,761
118,693
119,789
120,765
121,739
122,721
123,780
124,737
125,953
126,902
127,876
128,901
129,912
130,933
131,843
132,948
133,908
134,892
135,943
136,948
137,872
138,925
139,864
140,945
141,878
142,974
143,963
144,1005
145,986
146,944
147,950
148,913
149,968
150,962
151,1019
152,978
153,1009
154,972
155,956
156,1026
157,1113
158,1125
159,1124
160,1104
161,1166
162,1105
163,1122
164,1156
165,1082
166,1143
167,1095
168,1145
169,1156
170,1148
171,1155
172,1123
173,1127
174,1203
175,1154
176,1201
177,1189
178,1165
179,1225
180,1201
181,1178
182,1217
183,1164
184,1145
185,1252
186,1201
187,1220
188,1187
189,1320
190,1298
191,1376
192,1315
193,1304
194,1364
195,1316
196,1304
197,1367
198,1314
199,1324
200,1402
201,1360
202,1387
203,1398
204,1380
205,1385
206,1422
207,1437
208,1380
209,1369
210,1430
211,1335
212,1398
213,1474
214,1395
215,1378
216,1474
217,1451
218,1441
219,1394
220,1485
221,1542
222,1541
223,1604
224,1599
225,1519
226,1548
227,1601
228,1559
229,1569
230,1583
231,1626
232,1548
233,1591
234,1618
235,1607
236,1606
237,1621
238,1611
239,1580
240,1647
241,1633
242,1597
243,1609
244,1654
245,1699
246,1641
247,1636
248,1642
249,1715
250,1705
251,1639
252,1652
253,1804
254,1852
255,1827
256,1726
257,1729
258,1793
259,1808
260,1819
261,1792
262,1723
263,1809
264,1825
265,1834
266,1793
267,1755
268,1792
269,1858
270,1858
271,1913
272,1780
273,1794
274,1863
275,1865
276,1849
277,1906
278,1888
279,1952
280,1856
281,1857
282,1875
283,1832
284,1938
285,2063
286,2024
287,2001
288,1944
289,1948
290,2109
291,2027
292,2041
293,2020
294,1940
295,1968
296,1947
297,2026
298,2051
299,2047
300,2106
301,2126
302,2070
303,2055
304,2003
305,2023
306,2124
307,2092
308,2082
309,2095
310,2078
311,2067
312,2113
313,2150
314,2119
315,2128
316,2045
317,2176
318,2210
319,2246
320,2222
321,2265
322,2250
323,2275
324,2316
325,2290
326,2245
327,2259
328,2248
329,2188
330,2143
331,2178
332,2223
333,2312
334,2348
335,2341
336,2387
337,2337
338,2336
339,2371
340,2335
341,2288
342,2291
343,2365
344,2327
345,2273
346,2316
347,2326
348,2290
349,2434
350,2365
351,2348
352,2454
353,2436
354,2367
355,2417
356,2471
357,2468
358,2354
359,2377
360,2472
361,2492
362,2374
363,2382
364,2414
365,2453
366,2542
367,2553
368,2450
369,2447
370,2551
371,2562
372,2513
373,2539
374,2512
375,2539
376,2448
377,2425
378,2549
379,2529
380,2604
381,2701
382,2715
383,2750
384,2670
385,2667
386,2702
387,2717
388,2672
389,2608
390,2576
391,2686
392,2647
393,2643
394,2648
395,2707
396,2788
397,2760
398,2787
399,2811
400,2818
401,2711
